movie_title,genre,release_date,director,actor,rating,duration,language,country,box_office
"Good Old Fashioned Orgy, A",thriller,2/28/2000,Joela Prendergast,Aldus Smee,4.1,205,Māori,Portugal,Euro
Gotcha!,romance,1/4/2014,Boothe Harder,Glen Jouaneton,2.6,215,Punjabi,Azerbaijan,Manat
Sneakers,action,1/19/2015,Crista Hunton,Nap Ashwin,4.5,155,Quechua,New Caledonia,Franc
Littlerock,drama,6/5/2019,Brandy Adolphine,Gratia Kadar,6.8,237,Swedish,China,Yuan Renminbi
"Magician, The (Ansiktet)",thriller,4/13/2001,Starlin Milsted,Delila Climance,1.0,203,Hebrew,Japan,Yen
Titicut Follies,action,9/24/2020,Waly Chatten,Carrissa Crewdson,8.0,148,Finnish,Lithuania,Litas
"Glimmer Man, The",thriller,3/17/2017,Brnaba Jessopp,Cherie Jerzyk,1.9,162,Finnish,Poland,Zloty
Pushover,comedy,2/25/2013,Morena Patterson,Merrill Carbry,3.2,105,Italian,Latvia,Euro
Watercolors,comedy,5/23/2000,Rorie Leupold,Debbi Edwin,9.7,116,Persian,Canada,Dollar
"I Love, You Love (Ja milujem, ty milujes)",action,9/27/2009,Sidoney Claiton,Meade Benedetti,9.4,124,Luxembourgish,Indonesia,Rupiah
Thirteen Days,drama,4/11/2020,Ardys Copozio,Pall Cufley,8.1,61,Chinese,Philippines,Peso
Goal! III,drama,6/23/2012,Carmelia Font,Harmonia Hover,1.1,126,Tsonga,South Africa,Rand
Demolition Man,drama,5/12/2012,Dennis Lazonby,Darcey Housiaux,3.4,167,Hiri Motu,Cuba,Peso
Booker's Place: A Mississippi Story,romance,8/11/2002,Meyer Salvin,Barbe Maytom,2.0,172,Luxembourgish,Philippines,Peso
Goodbye Pork Pie,drama,5/27/2010,Llywellyn Hebbs,Nigel Nana,3.8,162,West Frisian,Morocco,Dirham
Divorce American Style,drama,12/31/2012,Matelda Cliburn,Nicol Say,9.7,158,Thai,Portugal,Euro
"Brave, The",thriller,4/4/2007,Leila Alastair,Em Guerner,8.1,202,Northern Sotho,Ireland,Euro
"Day of the Dolphin, The",thriller,8/30/2006,Ariel Niblo,Imelda Bontine,8.9,63,Czech,Lithuania,Litas
"Freshman, The",romance,3/16/2005,Brig Vondrach,Scarlett Russen,8.0,190,Bosnian,Nigeria,Naira
Some Folks Call It a Sling Blade,drama,6/21/2017,Hieronymus Dytham,Elladine Horley,1.8,172,Bosnian,China,Yuan Renminbi
"Kingdom II, The (Riget II)",romance,1/21/2019,Dewain Bransby,Trudy Sallowaye,9.9,219,Marathi,China,Yuan Renminbi
"Fourth Protocol, The",comedy,12/7/2001,Judi Bierman,Cal Kropp,9.9,120,Croatian,Madagascar,Ariary
Ultrasuede: In Search of Halston,comedy,3/3/2003,Hubie Peckett,Mathian Ionesco,5.3,145,Montenegrin,Greece,Euro
D.A.R.Y.L.,comedy,4/2/2003,Ash Bruna,Tobie Meijer,2.8,103,Italian,France,Euro
Riviera,romance,10/24/2005,Naomi Antoniazzi,Maiga Pettit,6.8,125,Estonian,China,Yuan Renminbi
Two Cents Worth of Hope (Due soldi di speranza),comedy,12/14/2012,Celle O' Brian,Sylvia Livingstone,4.8,87,Filipino,Indonesia,Rupiah
"Unearthly, The",action,11/29/2001,Janessa Aartsen,Brok Geal,4.1,192,Bulgarian,Russia,Ruble
Twilight of a Woman's Soul (Sumerki zhenskoi dushi),drama,12/28/2009,Emelita Reeken,Lezley Staniforth,1.8,139,Tajik,China,Yuan Renminbi
Tom and Jerry: The Lost Dragon,action,2/23/2006,Cortie Dixie,Pearline Diaper,5.2,226,Catalan,Palestinian Territory,Shekel
100 Rifles,comedy,1/4/2004,Brigitta Eastmond,Pincas Stillgoe,5.4,133,Kashmiri,Sweden,Krona
Trail of the Screaming Forehead,drama,8/7/2019,Lemuel Norman,Isidoro Abate,4.8,191,Hungarian,Russia,Ruble
"Langoliers, The",drama,11/5/2016,Carlie Vedenyapin,Jaine Penzer,5.7,240,Chinese,Russia,Ruble
Dragon Ball: The Curse Of The Blood Rubies (Doragon bôru: Shenron no densetsu),drama,3/7/2012,Loren Thridgould,Malanie Rozec,2.8,141,Bulgarian,China,Yuan Renminbi
Love Lasts Three Years (L'amour dure trois ans),comedy,2/29/2012,Iosep Yanshin,Nicholle Cuphus,9.7,228,Pashto,Sweden,Krona
Shirin in Love,action,6/2/2009,Bondy Formby,Kalinda Sheddan,2.8,74,Montenegrin,China,Yuan Renminbi
"Unexpected Love, An",drama,10/27/2019,Ronalda Riches,Lizzy Brundall,1.2,158,Bosnian,China,Yuan Renminbi
"Lost Missile, The",comedy,11/26/2011,Sasha Birkett,Irving Rogge,7.9,204,Zulu,Russia,Ruble
Patton Oswalt: Finest Hour,comedy,6/6/2004,Gustie Nono,Orin Westraw,7.8,230,Tamil,China,Yuan Renminbi
Barbed Wire,drama,7/17/2022,Boris Echalier,Sandra Scully,1.2,98,Spanish,Russia,Ruble
Splinterheads,thriller,10/12/2006,Ronnie Summersby,Jorgan Petrushkevich,2.6,169,Yiddish,Saint Lucia,Dollar
"Bourne Supremacy, The",comedy,1/22/2020,Lana Speed,Catlin Mackelworth,1.6,120,Hebrew,Belarus,Ruble
"Killer Elite, The",action,7/23/2006,Albert Dear,Mellie Egger,8.0,175,Kyrgyz,Russia,Ruble
Killer McCoy,drama,6/13/2009,Waiter Yakebovich,Herbert Georg,2.1,218,Lithuanian,Japan,Yen
Locked Out (Enfermés dehors),comedy,2/3/2010,Lisabeth Matejic,Carney Legerton,5.6,112,Tamil,Paraguay,Guarani
Who's That Knocking at My Door?,romance,8/16/2012,Kalle Swidenbank,Roy Gaskoin,9.6,118,Filipino,France,Euro
"Ice Pirates, The",romance,4/19/2001,Chadd Fendley,Brewster Offill,7.1,239,Kazakh,Japan,Yen
Pyaar Ka Punchnama,drama,3/1/2012,Vanda Izkovici,Hamnet Alyutin,1.7,111,Swati,Indonesia,Rupiah
Persepolis,thriller,12/29/2011,Greer Tomankowski,Rachael Woolsey,5.1,110,Afrikaans,Mexico,Peso
"Magic Christmas Tree, The",comedy,1/8/2009,Cullie Yekel,Camilla Francescone,5.4,144,Portuguese,Argentina,Peso
"Man Who Never Was, The",thriller,5/19/2002,Rosy Hallan,Alameda Letherbury,1.1,203,Kashmiri,Philippines,Peso
Nekromantik 2,drama,10/3/2009,Maddy Retallick,Georgie Chaffe,9.2,92,Kurdish,Bangladesh,Taka
Lady Dragon,romance,4/30/2005,Trisha Mannering,Madel Clemmow,4.7,83,Mongolian,Portugal,Euro
Out of Life (Hors la vie),comedy,12/25/2008,Emmeline Thaw,Griffin Karolczyk,3.8,184,Armenian,China,Yuan Renminbi
Punchline,comedy,2/22/2010,Portia Sotheron,Leo Wedmore,4.7,205,West Frisian,China,Yuan Renminbi
Between Your Legs (Entre las piernas),comedy,10/18/2018,Hillary D'eath,Maynord Everit,7.9,70,Ndebele,Ukraine,Hryvnia
Zero Charisma,action,4/23/2010,Germaine Colkett,Demetris Budgen,4.1,139,Czech,Afghanistan,Afghani
Who Do I Gotta Kill?,drama,1/14/2013,Keelby Dauby,Dar Quarless,4.7,148,Hebrew,Indonesia,Rupiah
Cast a Giant Shadow,action,12/26/2005,Horatius Naul,Chickie Pietzner,3.4,213,Chinese,Indonesia,Rupiah
Butter,drama,6/22/2020,Tadd Shasnan,Rene Grayston,8.6,122,Bosnian,Cuba,Peso
Alex Cross,comedy,1/31/2014,Sky Reford,Carole Hazeldene,2.5,195,Bulgarian,China,Yuan Renminbi
"Same Love, Same Rain (El mismo amor, la misma lluvia)",thriller,8/23/2000,Kirsteni Jurgensen,Lodovico Gaskamp,4.4,219,Marathi,Palestinian Territory,Shekel
"Pirate Movie, The",romance,10/21/2012,Tiffi Cay,Justina Jannex,5.2,95,Gujarati,China,Yuan Renminbi
Unstoppable,romance,9/16/2009,Nona Sugge,Pate Derisly,7.1,88,Hindi,Tajikistan,Somoni
Town & Country,comedy,6/4/2007,Edvard Duguid,Hobie Grinter,1.8,231,Tamil,Indonesia,Rupiah
Airborne,thriller,6/27/2020,Dean Darthe,Merwin O'Scollee,1.1,182,Zulu,Ireland,Euro
"Sound of Fury, The",thriller,9/5/2002,Ozzie Sharram,Robinetta Allday,4.6,240,Marathi,Papua New Guinea,Kina
"Secret of Moonacre, The",comedy,1/5/2013,Bell Howieson,Aleta McClurg,9.7,81,Hiri Motu,Portugal,Euro
Affluenza,drama,1/21/2005,Manolo De Biasio,Garrard Aldie,1.1,182,Quechua,Finland,Euro
Agora,romance,4/3/2011,Sioux Waiton,Ruddie Roggero,1.8,187,Malay,China,Yuan Renminbi
When Jews Were Funny,comedy,2/21/2008,Beryle Muckart,Saunder Cudbird,3.3,99,Bislama,Sweden,Krona
Danger: Diabolik (Diabolik),thriller,12/2/2012,Dehlia Herrieven,Rosabel Oppie,7.0,63,Telugu,Czech Republic,Koruna
Reminiscences of a Journey to Lithuania,thriller,1/20/2012,Talbot Gerrit,Kermy Florentine,8.6,73,Korean,Indonesia,Rupiah
Whiteout,drama,4/17/2007,Katheryn Wardhough,Elisa McCard,7.2,92,French,Morocco,Dirham
"Signal, The",thriller,10/15/2022,Adrian Roebottom,Selma Cleghorn,9.9,120,Japanese,Philippines,Peso
Jack Strong,comedy,7/1/2012,Alyce Brookshaw,Felita Andreazzi,6.6,80,Romanian,Venezuela,Bolivar
The Bone Snatcher,action,2/10/2010,Drucy Stote,Elmore Gosnell,1.1,112,Moldovan,South Africa,Rand
They Were Expendable,comedy,1/6/2007,Hilliard Sorbie,Laverna Godbehere,7.3,64,Czech,Spain,Euro
Just Like Brothers (Comme des frères),romance,9/24/2002,Moreen July,Nap Rennie,3.8,74,Korean,Comoros,Franc
"Pillars of the Earth, The",action,6/11/2002,Dorey Cristoferi,Reed Bleas,4.5,101,Maltese,Japan,Yen
"Philadelphia Experiment, The",romance,2/8/2011,Marve Rickesies,Magda Olliff,4.3,130,Malagasy,China,Yuan Renminbi
Through a Glass Darkly (Såsom i en spegel),comedy,6/24/2017,Roselle Rashleigh,Hewett Scanlan,6.7,230,Spanish,Mongolia,Tugrik
Men in Black (a.k.a. MIB),drama,8/28/2002,Kasey Dohms,Darby Deane,4.3,206,Māori,Honduras,Lempira
Bed & Board (Domicile conjugal),drama,6/4/2014,Lind Kohtler,Elyssa Spivie,8.1,165,Tajik,Indonesia,Rupiah
Hercules,thriller,1/26/2009,Obediah Noe,Grant Johantges,3.6,238,Albanian,China,Yuan Renminbi
Mega Shark vs. Giant Octopus,thriller,12/31/2007,Muhammad Scotchmur,Mabelle Rubenczyk,9.1,222,Yiddish,Brazil,Real
"Fast Runner, The (Atanarjuat)",drama,10/27/2018,Lenette Vennings,Roderic Kempshall,1.4,173,Oriya,Brazil,Real
Starry starry night (Xing kong),drama,10/27/2011,Cosimo Jachimczak,Temp Cuttell,6.4,240,Dutch,China,Yuan Renminbi
Electra Glide in Blue,romance,8/31/2018,Jeanette Hercock,Roselia Inglefield,8.9,181,Hindi,Philippines,Peso
Gus,romance,9/10/2005,Raffarty Minihane,Paco Eburah,2.9,104,Thai,Colombia,Peso
Fawlty Towers (1975-1979),drama,1/10/2017,Ellynn Millberg,Whit Frances,9.5,207,Gagauz,China,Yuan Renminbi
Closed Curtain,action,9/13/2001,Mair Gillings,Ikey Yarnton,7.9,88,Mongolian,Philippines,Peso
Medicine Man,romance,1/23/2015,Nerty Castaner,Thorn Carvil,8.2,239,Quechua,Canada,Dollar
Foxy Brown,action,2/27/2022,Maible Handyside,Clarance Challice,7.4,70,Gujarati,United States,Dollar
Appropriate Adult,drama,11/17/2021,Rora Woolmore,Nils Bullimore,3.3,214,Dzongkha,Sierra Leone,Leone
"Hurricane, The",romance,9/17/2022,Shermie McGahern,Rochelle Dessaur,8.7,225,Dzongkha,China,Yuan Renminbi
Jesse Stone: Innocents Lost,romance,5/22/2011,Laurens Cowdrey,Eden Riply,4.0,194,English,Chile,Peso
American Psycho,thriller,5/3/2007,Jillie Perring,Fritz Upsale,6.6,150,English,Argentina,Peso
Brannigan,drama,9/23/2012,Sharia Stockton,Orelee Askam,1.3,162,Kurdish,Indonesia,Rupiah
Jack-Jack Attack,comedy,4/30/2016,Mickie Bussetti,Estelle Larrad,7.7,123,Montenegrin,Philippines,Peso
Angel-A,thriller,12/20/2000,Starr Horry,Saunderson Caffrey,2.8,184,Albanian,Indonesia,Rupiah
Special Forces (Forces spéciales),thriller,9/12/2012,Mirelle Rannie,Yul Errington,8.6,179,Yiddish,China,Yuan Renminbi
Pride and Prejudice,romance,10/21/2015,Caren Petracchi,Bank Clappison,7.9,226,Kashmiri,United States,Dollar
"Rock, The",action,12/20/2020,Gretal Barlass,Pasquale Jemmison,3.0,135,Azeri,Indonesia,Rupiah
Being Elmo: A Puppeteer's Journey,comedy,1/12/2019,Theo Chezier,Prudence Ringrose,2.2,75,Catalan,China,Yuan Renminbi
Direct Contact,thriller,9/4/2003,Connie Bellringer,Dulce MacAlister,2.2,139,Swati,Nigeria,Naira
Never Again,thriller,11/4/2016,Marillin Broomhall,Karrah Dorward,4.3,152,Gagauz,China,Yuan Renminbi
Eat,action,1/17/2005,Auroora Butts,Octavius Miere,4.4,152,Hiri Motu,United States,Dollar
"Night Train Murders (Last Stop on the Night Train) (Ultimo treno della notte, L')",comedy,11/25/2013,Freddie Jezzard,Avie Langstone,5.4,100,Macedonian,United States,Dollar
"Drum, The (Drums)",romance,8/15/2011,Reggi Biaggi,Victoir Faragan,8.5,98,Swati,Pakistan,Rupee
Smashing Time,romance,3/4/2005,Georgeta Olivey,Alexine Banford,1.6,186,Somali,Indonesia,Rupiah
Everything Is Illuminated,action,2/4/2020,George Fulham,David Dondon,5.3,180,Dzongkha,Indonesia,Rupiah
Vampire Hunter D,action,9/12/2013,Sioux Bower,Lindi Jouanet,6.7,60,Bosnian,Colombia,Peso
Airheads,romance,6/3/2008,Angelle Misselbrook,Filmore Chessel,5.6,126,Tswana,Brazil,Real
"Donner Party, The",romance,5/15/2019,Auroora Weir,Christal Calton,8.2,236,Swedish,China,Yuan Renminbi
Admiral,action,6/27/2004,Daniele Pickworth,Petey D'Alesco,4.3,200,Quechua,Russia,Ruble
Under the North Star (Täällä Pohjantähden alla),comedy,1/30/2001,Glendon Hiddy,Willy Vann,2.8,93,Spanish,Luxembourg,Euro
Lucky Number Slevin,thriller,2/9/2000,Billie Ormond,Licha Snookes,6.4,68,Kannada,Nigeria,Naira
"Impostors, The",thriller,7/31/2000,Junie Raigatt,Nessi Francescuzzi,7.1,82,Tetum,China,Yuan Renminbi
Gardenia,action,11/18/2017,Hanni Weatherburn,Nicolai Faithorn,1.2,99,Albanian,Sweden,Krona
In Their Sleep (Dans ton sommeil),comedy,5/10/2022,Margarethe Ashcroft,Cole Silley,3.0,165,Spanish,China,Yuan Renminbi
Sekirei,romance,7/22/2009,Kiley Aimer,Evonne Grievson,6.5,121,Hiri Motu,Serbia,Dinar
Get Over It,comedy,3/26/2020,Joy Andreazzi,Letizia Rawlin,4.8,188,Spanish,China,Yuan Renminbi
D.O.A.,romance,11/13/2001,Clarine Ricketts,Kelcey Mary,2.9,95,Luxembourgish,Portugal,Euro
Good Bye (Bé omid é didar),comedy,4/25/2018,Poppy Stewartson,Brandise Danher,9.1,121,Quechua,Poland,Zloty
For No Good Reason,romance,4/21/2015,Gusti Evers,Angelle Syddon,6.7,222,Moldovan,Croatia,Kuna
The Third Reich: The Rise & Fall,drama,8/4/2011,Levin McClaren,Adella Castlake,8.5,107,Kannada,Colombia,Peso
Children of Paradise (Les enfants du paradis),thriller,8/29/2019,Abbey Grumble,Quintana Selvester,8.5,110,Tswana,Philippines,Peso
Alaska: Spirit of the Wild,romance,2/3/2018,Cori Kohler,Eden Fitzsimons,8.1,134,Icelandic,United States,Dollar
House of Strangers,drama,11/26/2010,Colman Scholcroft,Jobye Graith,1.0,112,Kazakh,Indonesia,Rupiah
"Thirteen, The (Trinadtsat)",action,10/26/2016,Gay Whiteson,Honor Mazonowicz,4.0,72,Icelandic,Mayotte,Euro
"Terror Within, The",romance,2/25/2018,Hieronymus Brade,Farly Jemison,4.4,151,Gujarati,Brazil,Real
"Mambo Kings, The",thriller,11/7/2015,Marleah Jenkinson,Pepita Presnell,8.1,92,Hindi,China,Yuan Renminbi
Blind Husbands,romance,4/8/2021,Killian Catterell,Prue Lequeux,4.5,99,Quechua,Russia,Ruble
Just Anybody (Le premier venu),action,7/31/2018,Boote Coldicott,Willem Rimer,3.5,173,Assamese,Japan,Yen
Gentlemen Broncos,romance,9/18/2018,Langston Muldoon,Grove Mazillius,5.7,204,Italian,Ukraine,Hryvnia
Apartment 4E ,comedy,11/15/2006,Mehetabel Carden,Huey Povey,7.3,227,Latvian,Philippines,Peso
Margot at the Wedding,drama,1/6/2008,Mersey Emburey,Nickie Joubert,9.8,68,Papiamento,Czech Republic,Koruna
Elvis on Tour,thriller,5/3/2006,Florence Southgate,Ethelred Thon,2.6,240,Hungarian,Indonesia,Rupiah
Chairman of the Board,romance,10/3/2012,Edouard Boik,Reynard Vreede,5.6,116,Latvian,United States,Dollar
Wuthering Heights,comedy,7/25/2009,Laureen Mabbe,Matthus Kimm,3.5,218,Tok Pisin,Indonesia,Rupiah
Tremors,thriller,1/3/2013,Calley Abrahams,Mortimer Huonic,8.5,230,Maltese,Iran,Rial
7 Men from Now (Seven Men from Now),romance,3/29/2008,Siouxie Dairton,Beverlie Malling,7.9,220,Dari,Russia,Ruble
Blue Thunder,thriller,9/17/2000,Tabbatha Buesnel,Riccardo Trorey,7.2,147,Irish Gaelic,Thailand,Baht
Monte Carlo,comedy,2/4/2014,Wileen Kordova,Florida Melmoth,3.0,232,Finnish,Indonesia,Rupiah
"Amour fou, L'",action,5/25/2006,Candide Bryden,Quinta Boom,3.9,92,Georgian,China,Yuan Renminbi
"Green Slime, The",drama,6/11/2015,Maurise Salla,Karlotte Chanders,2.1,202,French,Peru,Sol
Living in Emergency: Stories of Doctors Without Borders,action,6/6/2016,Antons Kettles,Yelena Hinstridge,7.5,184,Kurdish,South Korea,Won
"Heart in Winter, A (Un coeur en hiver)",action,12/24/2019,Kiah Slocum,Nilson Telega,5.5,97,Marathi,Jamaica,Dollar
Resurrecting the Street Walker,action,12/4/2008,Witty Sleicht,Bernadina Tombling,8.3,196,Georgian,Indonesia,Rupiah
Ready to Rumble,thriller,3/24/2009,Rora Kemery,Dur Creelman,2.5,189,Latvian,Syria,Pound
"Prize of Peril, The (Prix du danger, Le)",romance,12/4/2003,Annice Tolomei,Danila Fairbrother,3.7,74,Haitian Creole,Philippines,Peso
Angel,thriller,9/7/2008,Claire Pruvost,Myrtle Gatman,9.4,71,Hindi,Gabon,Franc
"Fury, The",drama,11/25/2003,Garner Braunds,Martha Willoughley,2.7,97,Armenian,Philippines,Peso
"Fiendish Plot of Dr. Fu Manchu, The",thriller,8/26/2008,Sibella Anwell,Marlyn Kinnon,6.9,201,Tajik,Peru,Sol
"Private War of Major Benson, The",thriller,9/21/2012,Starla Harp,Frasquito Goodwyn,2.2,232,Punjabi,China,Yuan Renminbi
Head Over Heels (De Pernas pro Ar),drama,9/8/2012,Raimund Killbey,Eugen Casero,6.7,180,Chinese,Vietnam,Dong
"Niagara, Niagara",drama,10/30/2018,Salvidor Sibbering,Darrin Mouget,2.5,169,Lao,Faroe Islands,Krone
Beeswax,romance,5/6/2008,Quint Barta,Doris Fennick,7.9,221,Kyrgyz,Bosnia and Herzegovina,Marka
Secret Beyond the Door,thriller,2/24/2012,Julia Hallyburton,Shirley Mathely,4.1,148,Swedish,Ukraine,Hryvnia
More,drama,9/7/2012,Michelle De Coursey,Nick Concannon,9.4,182,Thai,Portugal,Euro
Haywire,drama,2/13/2011,Gale Hayhurst,Anjanette Whatmough,7.2,187,Dhivehi,Morocco,Dirham
The Diary of Preston Plummer,romance,8/13/2020,Grethel Lasseter,Wyndham MacMaster,5.7,239,Bosnian,Indonesia,Rupiah
Evenings on a Farm near Dikanka,action,3/21/2008,Giulio Holworth,Eldredge Moehler,8.4,163,Persian,Philippines,Peso
Transsiberian,comedy,3/7/2019,Farlee de Bullion,Norris McNirlin,3.3,101,Bulgarian,Yemen,Rial
Emma,drama,1/4/2021,Hanson Punt,Sianna Netherwood,4.7,108,Hiri Motu,Russia,Ruble
Trial,thriller,10/21/2008,Ferris Ramage,Danya Ellaman,7.3,163,Swahili,Indonesia,Rupiah
"Turn Me On, Dammit! (Få meg på, for faen)",comedy,1/31/2020,Myrtice Andriveaux,Julienne Gomes,1.8,199,Korean,China,Yuan Renminbi
The Karen Carpenter Story,comedy,5/31/2006,Sabrina Authers,Leigh Gotts,6.0,231,Bulgarian,San Marino,Euro
"Rutles: All You Need Is Cash, The",thriller,9/27/2002,Purcell Martugin,Sally Mc Caughan,4.8,238,Sotho,Brazil,Real
Spirits of the Dead,action,6/16/2000,Pennie Drake,Laurette Panyer,2.6,99,Malagasy,United States,Dollar
"Day the Fish Came Out, The",comedy,12/21/2014,Dulci Bernet,Karel Borris,3.4,84,Greek,China,Yuan Renminbi
Beautiful Ohio,comedy,7/31/2001,Rosene Roglieri,Yolane McGuiness,5.2,213,Kurdish,Colombia,Peso
"Secrets, The (Sodot, Ha-)",romance,5/5/2013,Quintana Illyes,Irv Suffield,1.3,64,Macedonian,China,Yuan Renminbi
Order and Disorder,action,3/4/2008,Rip Deble,Nero Swadden,4.6,136,Pashto,Peru,Sol
"Horrible Way to Die, A ",comedy,11/29/2009,Kariotta Fetherstone,Betsey McRory,7.3,127,Italian,Ecuador,Dollar
Make Believe,romance,7/5/2007,Nicolis Espinet,Marj Kitcat,2.0,148,Indonesian,France,Euro
The Whisperer in Darkness,action,4/15/2005,Alaster Da Costa,Verile Greenough,2.2,80,Telugu,Albania,Lek
"Tempest, The",drama,1/20/2008,Andeee Northwood,Umberto Parnall,1.9,168,Tsonga,Indonesia,Rupiah
Zenith,romance,9/15/2000,Liane Lodin,Dolorita Whyte,8.7,68,Italian,Indonesia,Rupiah
